순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
98,이성열,한화,1루수,23,18,159,2,0,159,11,19,0.988,0,0,0,-
98,황윤호,KIA,3루수,23,11,110,2,0,15,21,0,0.947,0,0,0,-
100,노시환,한화,유격수,22,4,60,0,0,11,21,7,1.000,0,0,0,-
100,김동한,롯데,2루수,22,14,124,2,0,26,39,11,0.970,0,0,0,-
100,윤석민,KT,3루수,22,18,129 2/3,4,0,12,22,0,0.895,0,0,0,-
100,이상호,NC,3루수,22,15,130,2,0,10,28,5,0.950,0,0,0,-
104,이대호,롯데,1루수,21,20,147 2/3,1,0,140,17,16,0.994,0,0,0,-
104,윤진호,LG,유격수,21,2,49 1/3,1,0,11,9,3,0.952,0,0,0,-
106,문상철,KT,1루수,20,13,105 1/3,4,0,101,9,10,0.965,0,0,0,-
107,김태진,NC,3루수,19,15,122,1,0,7,24,3,0.969,0,0,0,-
108,강경학,한화,1루수,18,5,69,0,0,70,3,7,1.000,0,0,0,-
108,김회성,한화,3루수,18,10,96 2/3,1,0,7,25,5,0.970,0,0,0,-
108,지석훈,NC,2루수,18,3,58 1/3,0,0,8,18,4,1.000,0,0,0,-
111,김창평,SK,2루수,17,15,122,0,0,29,47,11,1.000,0,0,0,-
111,나주환,SK,3루수,17,5,66,0,0,2,15,1,1.000,0,0,0,-
111,류지혁,두산,1루수,17,0,27 1/3,0,0,20,6,2,1.000,0,0,0,-
111,김인환,한화,1루수,17,14,97,1,0,83,5,5,0.989,0,0,0,-
111,공민규,삼성,1루수,17,14,119,2,0,86,8,6,0.979,0,0,0,-
111,베탄코트,NC,1루수,17,17,140,3,0,123,7,8,0.977,0,0,0,-
117,고장혁,KIA,3루수,16,9,77 1/3,4,0,1,9,0,0.714,0,0,0,-
117,안치홍,KIA,1루수,16,9,76,0,0,66,8,10,1.000,0,0,0,-
117,박계범,삼성,3루수,16,11,99 2/3,2,0,11,17,2,0.933,0,0,0,-
117,문규현,롯데,3루수,16,11,105,2,0,7,35,3,0.955,0,0,0,-
117,지석훈,NC,유격수,16,12,103,1,0,23,39,5,0.984,0,0,0,-
122,페르난데스,두산,1루수,15,15,117,3,0,105,3,14,0.973,0,0,0,-
122,박계범,삼성,2루수,15,11,98,2,0,19,16,6,0.946,0,0,0,-
124,정현,SK,유격수,14,5,45,0,0,7,12,5,1.000,0,0,0,-
124,신성현,두산,1루수,14,7,66,1,0,66,6,5,0.986,0,0,0,-
124,김성훈,삼성,3루수,14,2,36,1,0,3,7,0,0.909,0,0,0,-
124,문규현,롯데,유격수,14,3,34,1,0,6,12,3,0.947,0,0,0,-
124,배성근,롯데,2루수,14,5,61,1,0,16,20,6,0.973,0,0,0,-
124,김태진,NC,2루수,14,10,92,0,0,21,41,13,1.000,0,0,0,-
130,안상현,SK,유격수,13,3,42 1/3,0,0,9,7,2,1.000,0,0,0,-
130,정병곤,두산,2루수,13,5,50 2/3,0,0,11,18,4,1.000,0,0,0,-
130,강경학,한화,2루수,13,4,51,1,0,20,14,6,0.971,0,0,0,-
130,김선빈,KIA,2루수,13,10,77,1,0,9,25,5,0.971,0,0,0,-
130,류승현,KIA,2루수,13,8,72,1,0,17,12,4,0.967,0,0,0,-
130,문선재,KIA,1루수,13,4,45,2,0,33,1,3,0.944,0,0,0,-
130,오정환,KIA,2루수,13,3,46 1/3,1,0,8,17,3,0.962,0,0,0,-
130,윌슨,롯데,1루수,13,12,104,0,0,100,11,9,1.000,0,0,0,-
130,양종민,LG,3루수,13,11,92 2/3,4,0,5,22,0,0.871,0,0,0,-
130,강민국,KT,3루수,13,1,31 2/3,1,0,6,5,0,0.917,0,0,0,-
130,고명성,KT,유격수,13,1,35 2/3,1,0,3,18,4,0.955,0,0,0,-
141,정현,SK,2루수,12,6,61 1/3,0,0,22,16,8,1.000,0,0,0,-
141,최준우,SK,2루수,12,11,76,0,0,15,25,4,1.000,0,0,0,-
141,배성근,롯데,3루수,12,3,33 1/3,2,0,2,2,0,0.667,0,0,0,-
141,박승욱,KT,3루수,12,8,70 2/3,0,0,2,15,3,1.000,0,0,0,-
145,나주환,SK,1루수,11,6,63,0,0,56,1,6,1.000,0,0,0,-
145,박찬호,KIA,2루수,11,7,69 2/3,1,0,25,23,8,0.980,0,0,0,-
145,김성훈,삼성,유격수,11,3,50 1/3,1,0,14,13,5,0.964,0,0,0,-
145,김민수,롯데,3루수,11,10,89,1,0,9,13,0,0.957,0,0,0,-
145,신용수,롯데,유격수,11,2,36,4,0,4,9,1,0.765,0,0,0,-
145,전병우,롯데,1루수,11,8,64 1/3,1,0,66,4,4,0.986,0,0,0,-
1,오지환,LG,유격수,143,142,1198 2/3,24,0,211,409,74,0.963,0,0,0,-
2,하주석,한화,유격수,141,132,1142 2/3,18,0,194,348,80,0.968,0,0,0,-
3,허경민,두산,3루수,132,121,1046,7,0,87,226,29,0.978,0,0,0,-
3,번즈,롯데,2루수,132,127,1073,22,0,260,360,81,0.966,0,0,0,-
3,로맥,SK,1루수,132,124,1078 2/3,8,0,1026,68,90,0.993,0,0,0,-
6,김재호,두산,유격수,129,114,939,12,0,154,285,66,0.973,0,0,0,-
7,박경수,KT,2루수,127,122,1016,14,0,283,381,111,0.979,0,0,0,-
8,김선빈,KIA,유격수,126,115,962,12,0,163,293,62,0.974,0,0,0,-
8,김하성,넥센,유격수,126,124,1071 2/3,13,0,206,396,69,0.979,0,0,0,-
10,황재균,KT,3루수,125,123,1040 1/3,17,0,68,221,32,0.944,0,0,0,-
11,오재원,두산,2루수,122,116,966,16,0,236,305,81,0.971,0,0,0,-
12,김상수,삼성,유격수,120,120,989,16,0,164,288,68,0.966,0,0,0,-
12,윤석민,KT,1루수,120,115,954 1/3,7,0,881,54,108,0.993,0,0,0,-
14,이원석,삼성,3루수,119,117,965 2/3,9,0,87,173,13,0.967,0,0,0,-
15,오재일,두산,1루수,115,107,939 2/3,4,0,878,53,92,0.996,0,0,0,-
15,스크럭스,NC,1루수,115,113,962 1/3,11,0,848,55,94,0.988,0,0,0,-
17,심우준,KT,유격수,114,92,793,13,0,174,270,72,0.972,0,0,0,-
18,양석환,LG,3루수,113,109,882,11,0,72,171,15,0.957,0,0,0,-
18,러프,삼성,1루수,113,111,953 1/3,6,0,847,65,88,0.993,0,0,0,-
20,김혜성,넥센,2루수,111,94,818 2/3,12,0,192,312,72,0.977,0,0,0,-
21,안치홍,KIA,2루수,110,105,867 2/3,8,0,204,276,68,0.984,0,0,0,-
21,문규현,롯데,유격수,110,83,726 1/3,13,0,105,237,46,0.963,0,0,0,-
23,최정,SK,3루수,109,104,901 2/3,11,0,64,184,17,0.958,0,0,0,-
23,김민성,넥센,3루수,109,104,895 2/3,7,0,69,163,27,0.971,0,0,0,-
25,박민우,NC,2루수,106,102,827 2/3,8,0,242,257,73,0.984,0,0,0,-
26,이범호,KIA,3루수,101,92,728,4,0,51,142,12,0.980,0,0,0,-
26,박병호,넥센,1루수,101,101,841 2/3,11,0,821,57,77,0.988,0,0,0,-
28,김주찬,KIA,1루수,100,95,771,3,0,741,31,76,0.996,0,0,0,-
29,채태인,롯데,1루수,99,78,696 1/3,4,0,630,52,62,0.994,0,0,0,-
29,정주현,LG,2루수,99,95,765 1/3,15,0,167,250,46,0.965,0,0,0,-
31,김성현,SK,2루수,94,72,666 2/3,8,0,143,208,54,0.978,0,0,0,-
31,송광민,한화,3루수,94,89,738 1/3,10,0,48,149,18,0.952,0,0,0,-
33,김용의,LG,1루수,89,36,435 1/3,1,0,397,34,30,0.998,0,0,0,-
34,신본기,롯데,유격수,83,59,522 2/3,11,0,81,166,36,0.957,0,0,0,-
35,한동희,롯데,3루수,80,57,505,12,0,36,91,11,0.914,0,0,0,-
35,나주환,SK,유격수,80,70,590 2/3,11,0,93,192,41,0.963,0,0,0,-
37,손주인,삼성,2루수,76,67,512 1/3,5,0,105,175,35,0.982,0,0,0,-
38,강한울,삼성,2루수,75,52,495 2/3,4,0,109,154,42,0.985,0,0,0,-
39,류지혁,두산,유격수,74,29,336,4,0,71,109,30,0.978,0,0,0,-
40,신본기,롯데,3루수,73,52,434,8,0,31,79,12,0.932,0,0,0,-
40,박기혁,KT,유격수,73,38,361,3,0,56,124,31,0.984,0,0,0,-
42,노진혁,NC,유격수,71,48,437 2/3,6,0,65,142,27,0.972,0,0,0,-
43,노진혁,NC,3루수,70,57,467,9,0,34,111,12,0.942,0,0,0,-
44,김현수,LG,1루수,68,60,452 1/3,5,0,396,38,39,0.989,0,0,0,-
44,정은원,한화,2루수,68,41,402 2/3,3,0,78,124,33,0.985,0,0,0,-
46,손시헌,NC,유격수,66,49,391 1/3,3,0,83,125,30,0.986,0,0,0,-
47,강경학,한화,2루수,63,54,468 2/3,1,0,109,149,38,0.996,0,0,0,-
48,강승호,SK,2루수,59,50,424 1/3,9,0,119,149,46,0.968,0,0,0,-
49,이성열,한화,1루수,58,54,444 2/3,4,0,397,32,37,0.991,0,0,0,-
50,최항,SK,2루수,53,43,333 2/3,8,0,68,117,22,0.959,0,0,0,-
50,장영석,넥센,1루수,53,21,256 1/3,1,0,245,14,30,0.996,0,0,0,-
